count,distancia_km,dias_entrega
16974,74.48,3.72
9636,128.87,9.13
2263,141.13,16.25
668,146.71,23.35
226,147.59,30.57
91,151.83,37.22
67,165.99,44.33
17,141.76,51.95
9,142.23,59.11
9,136.6,67.2
7,103.21,71.88
1,26.49,78.0
2,190.23,86.5
1,11.78,96.0
4,187.59,101.25
3,90.85,106.0
3,31.34,116.67
1,91.69,175.0
1,285.08,187.0
1,90.56,191.0
6852,408.53,4.9
15938,416.96,9.56
5584,425.84,16.31
1878,429.17,23.42
763,420.97,30.42
379,426.06,37.68
189,416.74,44.58
97,432.58,51.64
54,405.57,58.18
25,432.94,65.92
16,402.73,72.56
7,423.19,79.71
6,336.88,85.25
2,345.69,94.0
3,385.03,101.67
2,426.15,107.0
4,388.17,129.75
2,336.27,144.0
1,373.78,173.0
2,378.95,208.5
1537,726.59,5.11
7336,728.14,9.85
3687,727.83,16.51
1307,727.2,23.38
504,728.02,30.51
245,713.05,37.41
112,723.36,44.56
56,711.56,51.76
28,708.2,57.94
16,720.26,66.35
9,704.48,72.67
5,746.19,79.6
2,726.6,84.5
4,687.28,94.8
2,658.46,100.5
1,663.74,107.0
1,856.54,136.0
1,785.2,143.0
1,669.56,165.0
1,863.99,181.0
1,858.59,186.0
1,828.83,189.0
539,961.56,5.29
3364,975.31,9.95
1943,982.58,16.47
714,982.38,23.39
259,992.58,30.46
144,983.33,37.46
65,978.57,44.41
30,1021.58,51.61
20,971.43,59.08
6,1002.84,65.29
3,1056.64,71.67
1,1083.01,78.0
1,966.28,86.0
1,1130.54,124.0
1,894.17,133.0
1,1028.07,141.0
1,909.27,148.0
1,1024.22,168.0
1,1066.39,182.0
110,1295.07,4.85
1079,1285.04,10.44
979,1289.5,16.74
441,1299.07,23.34
181,1297.94,30.81
78,1278.83,37.65
42,1284.72,44.85
13,1299.25,51.43
7,1243.61,57.25
7,1312.57,65.18
3,1338.48,74.33
2,1279.72,79.0
1,1198.62,99.0
2,1252.33,108.0
1,1293.39,130.0
1,1399.02,146.0
1,1158.24,167.0
75,1538.97,5.24
894,1548.35,10.27
825,1553.85,16.71
406,1559.45,23.5
191,1550.96,30.12
74,1569.93,37.56
47,1578.6,44.56
15,1592.15,51.8
5,1592.76,58.6
2,1579.34,68.0
2,1626.06,75.5
2,1513.03,82.5
1,1576.57,106.0
1,1497.85,135.0
1,1527.28,167.0
1,1475.19,194.0
23,1909.0,4.96
552,1891.13,10.52
637,1890.66,16.64
333,1894.5,23.46
167,1897.23,30.57
83,1883.51,37.46
37,1894.69,44.64
28,1912.45,50.76
4,1921.35,59.25
4,1859.48,66.0
4,1876.56,70.75
4,1849.76,80.8
2,1783.85,86.0
1,1823.9,188.0
52,2132.35,5.34
814,2155.24,10.61
980,2165.18,16.73
573,2168.98,23.6
227,2165.53,30.82
125,2161.79,37.47
82,2174.64,44.77
34,2172.45,51.25
12,2166.55,58.64
5,2088.22,66.4
5,2203.63,72.2
2,2287.48,77.5
3,2099.78,86.33
2,2232.36,102.5
1,2253.85,110.0
1,2289.16,126.0
1,2232.82,138.0
1,2175.15,142.0
1,2139.88,166.0
1,2172.72,174.0
3,2103.45,194.33
38,2379.19,5.17
485,2404.25,10.47
578,2404.55,16.75
394,2415.51,23.67
185,2418.93,30.9
78,2431.3,37.99
49,2413.92,44.65
26,2424.58,51.19
6,2403.95,58.67
5,2432.1,65.0
6,2371.94,72.33
2,2350.03,80.5
1,2372.32,91.0
1,2367.18,138.0
1,2435.15,187.0
9,2701.75,5.1
90,2729.75,10.85
142,2709.33,16.78
107,2710.65,23.87
71,2701.99,30.84
29,2686.71,37.47
15,2719.81,44.56
2,2753.56,49.5
3,2740.3,57.0
1,2674.39,63.0
2,2737.25,71.0
1,2772.86,90.0
1,2619.38,168.0
4,3029.65,5.0
38,3063.54,10.93
30,3056.3,15.94
26,3001.16,23.23
16,3080.9,29.68
11,3064.86,37.82
4,3033.97,45.0
1,3034.68,53.0
1,3142.49,57.0
2,3006.81,72.0
1,3305.53,6.0
11,3273.79,10.0
12,3251.32,15.92
13,3290.48,23.85
7,3327.5,30.75
4,3243.81,37.5
2,3315.77,53.0
1,3228.57,66.0
1,3319.14,71.0
1,3301.6,172.0
1,3509.07,14.0
1,3543.88,24.0
1,3927.41,21.0
1,4791.61,27.0
1,5338.62,25.0
1,5338.62,29.0
1,8677.91,27.0
