count,distancia_km,freight_value
21237,78.24,9.83
8015,151.98,17.35
989,114.76,33.67
361,143.71,46.14
184,146.83,60.8
66,138.45,74.17
45,127.62,87.62
19,137.08,100.84
8,191.75,116.65
9,182.0,130.22
3,209.73,144.18
1,203.57,174.49
2,230.23,182.16
1,241.64,321.46
5438,391.98,11.44
24334,424.1,17.33
1493,409.49,33.35
763,413.9,46.37
423,414.51,61.28
160,417.38,74.09
107,425.95,87.95
72,435.46,101.33
33,401.39,115.58
26,430.63,128.58
22,431.27,142.93
16,442.74,157.8
8,421.18,169.87
1,509.45,187.43
5,424.93,195.64
1,327.63,207.78
1,498.6,252.35
1,415.45,267.08
1,391.31,306.06
1,433.07,322.1
2,453.23,375.28
568,697.99,8.47
12871,727.74,18.14
934,739.94,32.71
413,732.46,46.47
250,724.14,60.91
111,737.22,73.33
60,721.62,87.51
53,727.02,101.06
16,712.03,116.16
24,736.97,127.89
17,743.62,144.52
5,738.82,155.13
6,778.21,171.74
5,752.45,183.06
4,727.49,196.98
2,709.03,212.24
3,716.32,224.47
1,660.7,244.34
1,783.34,250.42
1,703.56,269.0
1,850.91,294.76
1,632.25,321.88
1,617.55,339.59
142,983.44,6.51
5938,973.45,18.76
661,1002.46,32.51
256,992.1,46.81
117,979.53,61.22
74,1016.33,73.13
40,1011.88,86.99
18,1018.67,100.76
14,1031.05,115.89
10,1051.09,130.14
7,953.25,147.95
2,1084.24,158.76
4,1010.59,166.91
2,1147.86,188.41
1,895.68,194.31
1,1036.74,211.66
1,887.43,222.38
1,996.49,234.78
2,1071.96,255.34
56,1303.89,5.16
2067,1289.85,20.2
560,1291.11,33.11
168,1287.74,47.34
79,1275.3,59.91
38,1286.62,74.33
25,1284.74,87.53
10,1281.1,102.29
10,1305.58,116.24
9,1292.22,128.81
4,1301.41,144.22
4,1355.1,156.54
2,1263.93,185.71
3,1233.36,197.82
1,1266.48,293.27
34,1509.29,6.54
1744,1540.13,20.49
493,1577.69,34.05
190,1589.16,48.73
70,1587.72,60.22
44,1623.98,73.73
29,1551.71,86.16
11,1576.34,103.18
7,1633.0,115.83
8,1540.26,129.73
2,1512.79,147.96
1,1452.16,157.5
1,1610.4,164.84
1,1599.27,185.73
2,1626.74,193.58
1,1546.69,237.11
1,1498.34,255.92
1,1689.12,314.4
1,1708.13,338.3
38,1883.16,5.4
699,1890.53,23.26
711,1895.97,34.73
271,1894.12,48.39
99,1889.62,60.03
39,1869.2,73.36
32,1890.32,87.21
15,1880.92,103.05
12,1878.11,115.03
7,1929.85,130.6
5,1864.12,142.85
2,1790.35,157.82
1,1875.4,165.32
2,1985.27,182.06
4,1949.75,194.06
3,1784.75,214.06
1,1991.97,227.57
3,1937.14,236.86
3,1926.42,253.41
1,1880.12,262.72
1,1762.87,284.6
1,1864.72,409.68
48,2170.33,5.75
1249,2156.46,22.8
1039,2170.81,33.72
394,2162.21,47.66
166,2156.82,60.72
45,2158.84,72.89
41,2148.07,87.53
18,2156.26,103.18
19,2158.29,115.93
7,2214.34,131.78
5,2129.08,146.03
4,2241.24,160.91
6,2205.05,171.42
2,2181.6,196.59
3,2175.65,213.15
2,2105.51,222.92
1,2127.61,232.69
3,2131.9,249.79
1,2133.51,299.16
2,2187.28,313.22
17,2389.65,8.13
1023,2401.48,21.59
492,2406.36,32.5
207,2438.93,46.37
97,2425.09,62.06
30,2412.76,72.67
21,2433.61,87.76
14,2432.86,101.82
8,2425.98,115.84
9,2466.83,129.97
2,2360.27,144.29
3,2387.8,153.28
1,2360.77,173.23
5,2400.06,184.72
1,2596.75,193.28
3,2731.22,9.0
144,2693.86,24.0
165,2715.11,31.57
82,2717.33,46.21
46,2713.57,61.84
9,2727.06,74.57
18,2750.16,87.46
8,2752.6,103.13
2,2744.66,110.28
3,2725.1,127.93
2,2736.74,141.84
1,2668.75,162.08
3,2669.07,170.36
1,2769.89,210.09
1,2815.82,245.75
1,2819.65,317.47
5,3093.24,19.76
64,3070.21,34.0
13,3043.68,47.19
25,3007.57,61.2
8,2978.62,76.14
13,3079.76,85.25
1,3077.18,99.3
1,2948.23,109.96
2,3044.92,141.23
1,2956.17,175.55
1,2905.49,192.48
7,3280.76,25.46
34,3276.5,31.78
10,3296.39,45.36
5,3237.75,60.86
1,3187.63,81.85
1,3359.27,84.39
1,3543.88,38.04
1,3509.07,47.09
1,3579.89,84.94
1,3927.41,34.88
1,4791.61,20.8
2,5338.62,29.24
1,8677.91,25.6
